,0,1,2
98,CD4 Memory,CD4+ Naive T,CD4 Naive
99,CD4 Naive,CD4+ Naive T,CD4 Naive
100,CD16+ Monocytes,Dendritic Cells,CD16 Mono
101,CD4 Naive,CD4+ Naive T,CD4 Naive
102,CD4 Naive,CD4+ Naive T,CD4 Naive
103,CD8 effector,CD8+ Effector Memory T,CD8 TEM
104,CD8 effector,CD8+ Effector Memory T,CD8 TEM
105,CD16+ Monocytes,Dendritic Cells,CD16 Mono
106,CD8 Naive,CD8+ Naive T,CD8 Naive
107,CD4 Naive,CD4+ Naive T,CD4 Naive
108,pre-B cell,Dendritic Cells,B naive
109,NK cell,NK cell,NK
110,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
111,CD8 Naive,CD8+ Naive T,CD8 Naive
112,CD4 Naive,CD4+ Naive T,CD4 Naive
113,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
114,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
115,CD8 Naive,CD8+ Naive T,CD8 Naive
116,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
117,CD8 Naive,CD8+ Naive T,CD8 Naive
118,CD8 Naive,CD8+ Naive T,CD8 Naive
119,CD8 effector,CD8+ Effector Memory T,CD8 TEM
120,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
121,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
122,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
123,pDC,pDC,pDC
124,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
125,CD8 effector,CD8+ Effector Memory T,CD8 TEM
126,pre-B cell,Dendritic Cells,B naive
127,CD4 Naive,CD4+ Naive T,CD4 Naive
128,CD8 Naive,CD8+ Naive T,CD8 Naive
129,CD16+ Monocytes,Dendritic Cells,CD16 Mono
130,B cell progenitor,Dendritic Cells,B intermediate
131,CD4 Naive,CD4+ Naive T,CD4 Naive
132,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
133,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
134,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
135,B cell progenitor,Dendritic Cells,B intermediate
136,CD4 Memory,CD4+ Central Memory T,CD4 TCM
137,CD4 Memory,CD4+ Naive T,CD4 Naive
138,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
139,CD4 Naive,CD4+ Naive T,CD4 Naive
140,CD4 Memory,CD4+ Central Memory T,CD4 TCM
141,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
142,CD8 Naive,CD8+ Naive T,CD8 Naive
143,pre-B cell,Dendritic Cells,B naive
144,CD4 Memory,CD4+ Naive T,CD4 Naive
145,CD4 Naive,CD4+ Naive T,CD4 Naive
146,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
147,CD8 Naive,CD8+ Naive T,CD8 Naive
148,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
149,CD8 Naive,CD8+ Naive T,CD8 Naive
150,CD4 Memory,CD4+ Naive T,CD4 Naive
151,NK cell,NK cell,NK
152,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
153,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
154,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
155,NK cell,NK cell,NK
156,CD16+ Monocytes,Dendritic Cells,CD16 Mono
157,CD8 Naive,CD8+ Naive T,CD8 Naive
158,CD4 Naive,CD8+ Naive T,CD8 Naive
159,CD8 effector,CD8+ Effector Memory T,CD8 TEM
160,Dendritic cell,Dendritic Cells,cDC2
161,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
162,CD4 Memory,CD4+ Naive T,CD4 Naive
163,CD4 Memory,CD4+ Naive T,CD4 Naive
164,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
165,CD4 Naive,CD4+ Naive T,CD4 Naive
166,CD8 Naive,CD8+ Naive T,CD8 Naive
167,CD8 Naive,CD8+ Naive T,CD8 Naive
168,CD8 Naive,CD8+ Naive T,CD8 Naive
169,CD8 Naive,CD8+ Naive T,CD8 Naive
170,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
171,NK cell,NK cell,NK
172,CD4 Naive,CD4+ Naive T,CD4 Naive
173,CD8 Naive,CD8+ Naive T,CD8 Naive
174,CD4 Naive,CD8+ Naive T,CD8 Naive
175,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
176,CD8 effector,CD8+ Effector Memory T,CD8 TEM
177,CD4 Memory,CD4+ Central Memory T,CD4 TCM
178,CD4 Memory,CD4+ Naive T,CD4 Naive
179,CD8 effector,CD8+ Effector Memory T,CD8 TEM
180,CD4 Naive,CD4+ Naive T,CD4 Naive
181,B cell progenitor,Dendritic Cells,B intermediate
182,CD8 effector,CD8+ Effector Memory T,CD8 TEM
183,pre-B cell,Dendritic Cells,B naive
184,CD8 effector,CD8+ Effector Memory T,CD8 TEM
185,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
186,Dendritic cell,Dendritic Cells,cDC2
187,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
188,Dendritic cell,Dendritic Cells,cDC2
189,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
190,CD8 Naive,CD8+ Naive T,CD8 Naive
191,CD8 Naive,CD8+ Naive T,CD8 Naive
192,pre-B cell,Dendritic Cells,B naive
193,CD4 Naive,CD4+ Naive T,CD4 Naive
194,CD16+ Monocytes,Dendritic Cells,CD16 Mono
195,CD16+ Monocytes,Dendritic Cells,CD16 Mono
196,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
197,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
198,CD4 Naive,CD4+ Naive T,CD4 Naive
199,CD8 Naive,CD8+ Naive T,CD8 Naive
200,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
201,CD4 Naive,CD4+ Naive T,CD4 Naive
202,CD16+ Monocytes,Dendritic Cells,CD16 Mono
203,CD4 Memory,CD4+ Central Memory T,CD4 TCM
204,CD16+ Monocytes,Dendritic Cells,CD16 Mono
205,CD8 Naive,CD8+ Naive T,CD8 Naive
206,CD8 effector,CD8+ Effector Memory T,CD8 TEM
207,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
208,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
209,CD16+ Monocytes,CD14+ Monocytes,CD14 Mono
210,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
211,CD16+ Monocytes,Dendritic Cells,CD16 Mono
212,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
213,CD4 Naive,CD4+ Naive T,CD4 Naive
214,CD8 effector,CD8+ Effector Memory T,CD8 TEM
215,CD4 Memory,CD4+ Central Memory T,CD4 TCM
216,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
217,CD8 Naive,CD8+ Naive T,CD8 Naive
218,CD4 Memory,CD4+ Naive T,CD4 Naive
219,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
220,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
221,B cell progenitor,Dendritic Cells,B intermediate
222,CD8 effector,CD8+ Effector Memory T,CD8 TEM
223,Dendritic cell,Dendritic Cells,cDC2
224,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
225,B cell progenitor,Dendritic Cells,B naive
226,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
227,,CD14+ Monocytes,CD14 Mono
228,CD8 Naive,CD8+ Naive T,CD8 Naive
229,CD8 effector,CD8+ Effector Memory T,CD8 TEM
230,CD8 Naive,CD8+ Naive T,CD8 Naive
231,CD8 Naive,CD8+ Naive T,CD8 Naive
232,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
233,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
234,pre-B cell,Dendritic Cells,B naive
235,NK cell,NK cell,NK
236,CD8 effector,CD8+ Effector Memory T,CD8 TEM
237,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
238,CD8 effector,CD8+ Effector Memory T,CD8 TEM
239,CD8 Naive,CD8+ Naive T,CD8 Naive
240,CD4 Memory,CD4+ Naive T,CD4 Naive
241,CD4 Memory,CD4+ Central Memory T,CD4 TCM
242,CD4 Naive,CD8+ Naive T,CD8 Naive
243,CD4 Naive,CD4+ Naive T,CD4 Naive
244,B cell progenitor,Dendritic Cells,B intermediate
245,CD4 Naive,CD4+ Naive T,CD4 Naive
246,pre-B cell,Dendritic Cells,B naive
247,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
248,CD4 Memory,CD4+ Central Memory T,CD4 TCM
249,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
250,CD4 Memory,CD4+ Central Memory T,CD4 TCM
251,CD4 Memory,CD4+ Central Memory T,CD4 TCM
252,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
253,CD4 Naive,CD4+ Naive T,CD4 Naive
254,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
255,CD4 Naive,CD4+ Naive T,CD4 Naive
256,CD4 Naive,CD4+ Naive T,CD4 Naive
257,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
258,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
259,CD8 Naive,CD8+ Naive T,CD8 Naive
260,CD8 effector,CD8+ Effector Memory T,CD8 TEM
261,CD8 effector,CD8+ Effector Memory T,CD8 TEM
262,CD8 effector,CD8+ Effector Memory T,CD8 TEM
263,,CD14+ Monocytes,CD14 Mono
264,CD8 effector,CD8+ Effector Memory T,CD8 TEM
265,CD8 effector,CD8+ Effector Memory T,CD8 TEM
266,CD8 Naive,CD8+ Naive T,CD8 Naive
267,CD4 Memory,CD4+ Central Memory T,CD4 TCM
268,CD8 effector,CD8+ Effector Memory T,CD8 TEM
269,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
270,CD4 Memory,CD4+ Central Memory T,CD4 TCM
271,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
272,CD4 Memory,CD4+ Central Memory T,CD4 TCM
273,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
274,CD8 effector,CD8+ Effector Memory T,CD8 TEM
275,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
276,CD8 Naive,CD8+ Naive T,CD8 Naive
277,B cell progenitor,Dendritic Cells,B intermediate
278,CD8 effector,CD8+ Effector Memory T,CD8 TEM
279,CD8 Naive,CD8+ Naive T,CD8 Naive
280,NK cell,NK cell,NK
281,CD8 Naive,CD8+ Naive T,CD8 Naive
282,CD4 Memory,CD4+ Central Memory T,CD4 TCM
283,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
284,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
285,CD4 Naive,CD4+ Naive T,CD4 Naive
286,CD8 Naive,CD8+ Naive T,CD8 Naive
287,B cell progenitor,Dendritic Cells,B intermediate
288,CD4 Naive,CD4+ Naive T,CD4 Naive
289,CD4 Naive,CD8+ Naive T,CD8 Naive
290,CD8 Naive,CD8+ Naive T,CD8 Naive
291,Double negative T cell,CD4+ Central Memory T,CD4 TCM
292,CD16+ Monocytes,Dendritic Cells,CD16 Mono
293,pre-B cell,Dendritic Cells,B naive
294,CD4 Memory,CD4+ Naive T,CD4 Naive
295,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
296,CD8 Naive,CD8+ Naive T,CD8 Naive
297,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
298,B cell progenitor,Dendritic Cells,B intermediate
299,CD4 Naive,CD4+ Naive T,CD4 Naive
300,CD8 effector,CD8+ Effector Memory T,CD8 TEM
301,CD4 Naive,CD4+ Central Memory T,CD4 TCM
302,CD4 Naive,CD4+ Naive T,CD4 Naive
303,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
304,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
305,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
306,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
307,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
308,CD4 Naive,CD4+ Naive T,CD4 Naive
309,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
310,CD4 Naive,CD4+ Central Memory T,CD4 TCM
311,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
312,CD4 Memory,CD4+ Central Memory T,CD4 TCM
313,CD8 effector,CD8+ Effector Memory T,CD8 TEM
314,CD16+ Monocytes,Dendritic Cells,CD16 Mono
315,CD4 Naive,CD8+ Naive T,CD8 Naive
316,CD8 effector,CD8+ Effector Memory T,CD8 TEM
317,pre-B cell,Dendritic Cells,B naive
318,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
319,CD16+ Monocytes,Dendritic Cells,CD16 Mono
320,CD4 Naive,CD4+ Naive T,CD4 Naive
321,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
322,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
323,CD4 Memory,CD4+ Central Memory T,CD4 TCM
324,pre-B cell,Dendritic Cells,B naive
325,CD4 Naive,CD4+ Naive T,CD4 Naive
326,CD14+ Monocytes,Dendritic Cells,CD16 Mono
327,CD16+ Monocytes,Dendritic Cells,CD16 Mono
328,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
329,CD4 Naive,CD4+ Naive T,CD4 Naive
330,CD4 Memory,CD4+ Central Memory T,CD4 TCM
331,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
332,CD4 Naive,CD4+ Naive T,CD4 Naive
333,CD4 Memory,CD4+ Central Memory T,CD4 TCM
334,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
335,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
336,CD4 Memory,CD4+ Naive T,CD4 Naive
337,CD8 Naive,CD8+ Naive T,CD8 Naive
338,CD4 Memory,CD4+ Naive T,CD4 Naive
339,CD4 Memory,CD4+ Naive T,CD4 Naive
340,CD4 Memory,CD4+ Naive T,CD4 Naive
341,CD8 Naive,CD8+ Naive T,CD8 Naive
342,pDC,pDC,pDC
343,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
344,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
345,Dendritic cell,Dendritic Cells,cDC2
346,CD4 Naive,CD4+ Naive T,CD4 Naive
347,CD16+ Monocytes,Dendritic Cells,CD16 Mono
348,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
349,B cell progenitor,Dendritic Cells,B intermediate
350,CD4 Memory,CD4+ Naive T,CD4 Naive
351,CD16+ Monocytes,Dendritic Cells,CD16 Mono
352,CD8 Naive,CD8+ Naive T,CD8 Naive
353,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
354,CD4 Naive,CD4+ Naive T,CD4 Naive
355,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
356,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
357,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
358,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
359,NK cell,NK cell,NK
360,CD8 Naive,CD8+ Naive T,CD8 Naive
361,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
362,CD16+ Monocytes,Dendritic Cells,CD16 Mono
363,CD4 Naive,CD4+ Naive T,CD4 Naive
364,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
365,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
366,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
367,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
368,NK cell,NK cell,NK
369,pDC,pDC,pDC
370,CD4 Memory,CD4+ Central Memory T,CD4 TCM
371,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
372,CD8 Naive,CD8+ Naive T,CD8 Naive
373,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
374,CD8 Naive,CD8+ Naive T,CD8 Naive
375,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
376,CD4 Memory,CD4+ Naive T,CD4 Naive
377,CD4 Naive,CD4+ Naive T,CD4 Naive
378,CD16+ Monocytes,Dendritic Cells,CD16 Mono
379,CD4 Memory,CD4+ Naive T,CD4 Naive
380,CD4 Naive,CD4+ Naive T,CD4 Naive
381,CD8 Naive,CD8+ Naive T,CD8 Naive
382,CD4 Memory,CD4+ Central Memory T,CD4 TCM
383,CD8 Naive,CD8+ Naive T,CD8 Naive
384,CD4 Memory,CD4+ Central Memory T,CD4 TCM
385,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
386,CD4 Memory,CD4+ Central Memory T,CD4 TCM
387,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
388,CD4 Memory,CD4+ Central Memory T,CD4 TCM
389,CD8 effector,CD8+ Effector Memory T,CD8 TEM
390,B cell progenitor,Dendritic Cells,B intermediate
391,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
392,Dendritic cell,Dendritic Cells,cDC2
393,CD4 Naive,CD4+ Naive T,CD4 Naive
394,CD8 Naive,CD8+ Naive T,CD8 Naive
395,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
396,CD16+ Monocytes,Dendritic Cells,CD16 Mono
397,CD4 Naive,CD4+ Naive T,CD4 Naive
398,CD4 Memory,CD4+ Central Memory T,CD4 TCM
399,Dendritic cell,Dendritic Cells,cDC2
400,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
401,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
402,,Dendritic Cells,B naive
403,CD4 Memory,CD4+ Central Memory T,CD4 TCM
404,pre-B cell,Dendritic Cells,B naive
405,CD4 Naive,CD4+ Naive T,CD4 Naive
406,CD4 Naive,CD4+ Naive T,CD4 Naive
407,CD4 Naive,CD4+ Naive T,CD4 Naive
408,CD8 Naive,CD8+ Naive T,CD8 Naive
409,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
410,CD8 Naive,CD8+ Naive T,CD8 Naive
411,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
412,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
413,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
414,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
415,CD4 Naive,CD4+ Naive T,CD4 Naive
416,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
417,CD4 Memory,CD4+ Naive T,CD4 Naive
418,CD4 Memory,CD4+ Naive T,CD4 Naive
419,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
420,CD4 Memory,CD4+ Central Memory T,CD4 TCM
421,CD4 Naive,CD4+ Naive T,CD4 Naive
422,CD8 Naive,CD8+ Naive T,CD8 Naive
423,CD8 Naive,CD8+ Naive T,CD8 Naive
424,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
425,CD8 Naive,CD8+ Naive T,CD8 Naive
426,CD4 Memory,CD4+ Central Memory T,CD4 TCM
427,,CD14+ Monocytes,CD14 Mono
428,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
429,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
430,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
431,CD8 Naive,CD8+ Naive T,CD8 Naive
432,CD4 Memory,CD4+ Central Memory T,CD4 TCM
433,CD8 effector,CD8+ Effector Memory T,CD8 TEM
434,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
435,CD4 Naive,CD4+ Naive T,CD4 Naive
436,CD8 Naive,CD8+ Naive T,CD8 Naive
437,CD8 Naive,CD8+ Naive T,CD8 Naive
438,CD4 Memory,CD4+ Central Memory T,CD4 TCM
439,CD4 Naive,CD4+ Naive T,CD4 Naive
440,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
441,Dendritic cell,Dendritic Cells,cDC2
442,CD8 Naive,CD8+ Naive T,CD8 Naive
443,CD4 Memory,CD4+ Naive T,CD4 Naive
444,CD4 Naive,CD4+ Naive T,CD4 Naive
445,CD8 effector,CD8+ Effector Memory T,CD8 TEM
446,CD8 Naive,CD8+ Naive T,CD8 Naive
447,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
448,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
449,CD4 Naive,CD4+ Naive T,CD4 Naive
450,CD8 Naive,CD8+ Naive T,CD8 Naive
451,CD4 Memory,CD4+ Naive T,CD4 Naive
452,CD4 Memory,CD4+ Central Memory T,CD4 TCM
453,CD4 Naive,CD4+ Naive T,CD4 Naive
454,pre-B cell,Dendritic Cells,B naive
455,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
456,CD4 Memory,CD4+ Naive T,CD4 Naive
457,B cell progenitor,Dendritic Cells,B intermediate
458,B cell progenitor,Dendritic Cells,B intermediate
459,CD8 Naive,CD8+ Naive T,CD8 Naive
460,CD8 Naive,CD8+ Naive T,CD8 Naive
461,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
462,pre-B cell,Dendritic Cells,B naive
463,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
464,CD8 effector,CD8+ Effector Memory T,CD8 TEM
465,CD4 Memory,CD4+ Central Memory T,CD4 TCM
466,pre-B cell,Dendritic Cells,B naive
467,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
468,CD8 Naive,CD8+ Naive T,CD8 Naive
469,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
470,CD4 Naive,CD4+ Naive T,CD4 Naive
471,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
472,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
473,CD16+ Monocytes,Dendritic Cells,CD16 Mono
474,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
475,NK cell,NK cell,NK
476,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
477,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
478,CD4 Memory,CD4+ Central Memory T,CD4 TCM
479,CD8 Naive,CD8+ Naive T,CD8 Naive
480,CD8 Naive,CD8+ Naive T,CD8 Naive
481,CD4 Naive,CD4+ Naive T,CD4 Naive
482,CD4 Naive,CD4+ Naive T,CD4 Naive
483,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
484,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
485,CD16+ Monocytes,Dendritic Cells,CD16 Mono
486,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
487,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
